,generation,robot,distance,structure,is_feasible_design
10,0,11,0.000126261,"[1 1 0 0 0 0 1 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",YES
11,0,12,11.4622,"[2 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 0 0 3 3 3 3 0 0 3 3 3 3 0 0 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 0 0 3 3 3 3 0 0 3 3 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 4 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 0 3 3 3 3 3 4 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 4 3 3 3 3
 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]",YES
12,0,13,0.00114991,"[3 3 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2
 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]",YES
13,0,14,4.61107,"[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0
 0 1 1 1 1 0 1 1 1 1 1 4 4 4 4 4 1 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 0
 0 0 0 0 0 0 0 0 0 1 0 0 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4 4 4 4 4 4 4 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4]",YES
14,0,15,0.885842,"[3 2 2 2 2 2 1 0 2 2 2 2 1 0 2 2 2 2 1 0 0 2 2 2 1 0 0 0 2 2 1 1 0 0 0 2 0
 2 2 2 2 2 0 0 2 2 2 2 0 0 2 2 2 2 0 0 0 2 2 2 0 0 0 0 2 2 0 0 0 0 0 2 4 2
 2 2 2 2 0 0 2 2 2 2 0 0 2 2 2 2 0 0 0 2 2 2 0 0 0 0 2 2 0 0 0 0 0 2 4 2 2
 2 2 2 0 0 2 2 2 2 0 0 2 2 2 2 0 0 0 2 2 2 0 0 0 0 2 2 0 0 0 0 0 2 4 2 2 2
 2 2 0 0 2 2 2 2 0 0 2 2 2 2 0 0 0 2 2 2 0 0 0 0 2 2 0 0 0 0 2 2 4 4 2 2 2
 2 0 0 2 2 2 2 0 0 2 2 2 2 0 0 0 2 2 2 0 0 0 0 2 2 0 0 0 0 2 2]",YES
15,0,16,10.6862,"[0 3 3 3 3 3 0 0 3 3 3 3 0 0 0 3 3 3 0 0 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 4
 3 3 3 3 3 0 0 3 3 3 3 0 0 0 3 3 3 0 0 0 0 3 3 0 0 0 0 0 3 0 0 0 0 0 0 4 4
 3 3 3 3 4 4 3 3 3 3 0 0 3 3 3 3 0 0 0 3 3 3 0 0 0 0 3 3 0 0 0 0 0 3 4 4 3
 3 3 3 4 4 3 3 3 3 4 4 4 3 3 3 4 4 4 3 3 3 0 0 0 0 3 3 0 0 0 0 0 3 4 4 4 3
 3 3 4 4 4 3 3 3 4 4 4 3 3 3 4 4 4 4 3 3 4 4 4 4 3 3 0 0 0 0 3 3 4 4 4 3 3
 3 4 4 4 4 3 3 4 4 4 4 3 3 4 4 4 4 3 3 4 4 4 4 3 3 4 4 4 4 4 3]",YES
16,0,17,0.00444555,"[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2
 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 2 2
 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2
 1 1 0 0 3 1 1 1 0 3 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 2 2 2 2 2
 1 0 2 2 3 1 1 0 0 3 1 1 1 0 3 1 1 1 1 0 3 1 1 1 1 0 1 1 1 1 1]",YES
17,0,18,0.00197144,"[2 2 0 0 0 0 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2
 2 0 0 0 0 2 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2
 0 0 0 0 2 2 1 1 1 1 2 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 0
 0 0 0 2 2 2 0 0 0 2 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2 2 2 0
 0 0 2 2 2 0 0 0 2 2 2 1 1 1 2 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 2 2 2 0 0
 0 2 2 2 0 0 0 2 2 2 1 1 1 2 2 2 1 1 1 2 2 1 1 1 1 2 1 1 1 1 1]",YES
18,0,19,1.95454,"[3 4 4 4 4 4 3 0 0 0 4 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
 4 4 4 4 4 2 4 4 4 4 4 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 4
 4 4 4 4 2 4 4 4 4 4 2 2 0 4 4 4 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 4 4
 4 4 4 2 4 4 4 4 4 2 2 4 4 4 4 2 2 0 0 0 4 2 0 0 0 0 0 0 0 0 0 0 0 4 4 4 4
 4 4 2 4 4 4 4 4 2 2 4 4 4 4 2 2 2 4 4 4 2 2 0 0 0 0 2 0 0 0 0 0 4 4 4 4 4
 4 2 4 4 4 4 4 2 2 4 4 4 4 2 2 2 4 4 4 2 2 2 0 4 4 2 2 0 0 0 0]",YES
19,0,20,3.88864,"[4 4 4 2 2 2 4 4 4 2 2 2 4 4 4 2 2 2 4 4 4 2 2 2 4 4 4 2 2 2 4 4 4 2 2 2 4
 4 4 2 2 2 4 4 4 2 2 2 4 4 4 2 2 2 4 4 4 2 2 2 4 4 4 2 2 2 4 4 4 4 2 2 4 4
 4 2 2 2 4 4 4 2 2 2 4 4 4 2 2 2 4 4 4 2 2 2 4 4 4 4 2 2 4 4 4 4 2 2 4 4 0
 0 2 2 4 4 0 0 2 2 4 4 0 0 2 2 4 4 4 0 2 2 4 4 4 0 2 2 4 4 4 4 2 2 0 0 0 0
 0 2 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 2 4 0 0 0 0 2 0 0 0 0 0
 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]",YES
